surface_form,search_arg,kind,pos_filter,ambiguity_flag,idiom_family,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,n_decades_pass,min_count,max_count,total_count,notes
Touched in the head,touched in the head,phrase,,low,,0,0,0,0,0,0,0,1,0,0,1,2,2,5,2,1,1,2,2,2,0,0,5,21,
Queer in the head,queer in the head,phrase,,low,,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,4,5,
Bereft of reason,bereft of reason,phrase,,low,,2,1,2,3,3,3,2,1,7,2,1,2,0,0,0,1,0,0,0,0,0,0,7,30,
Want of understanding,want of understanding,phrase,,low,,1,1,3,0,0,0,0,0,1,3,2,0,0,0,0,0,0,1,0,0,0,0,3,12,
Fits of insanity,fits of insanity,phrase,,low,,1,2,2,0,0,1,0,0,1,0,1,0,1,2,0,0,1,0,0,0,0,0,2,12,
Devil to pay,devil to pay,phrase,,med,,4,5,4,1,2,4,3,3,11,10,10,6,4,2,2,0,0,1,0,0,0,0,11,72,Roget's synonym for madness but has other senses.
Hell broke loose,hell broke loose,phrase,,med,,1,0,0,0,0,0,0,0,0,2,2,4,3,10,6,7,15,12,18,7,0,0,18,87,
All the fat in the fire,all the fat in the fire,phrase,,low,,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,
Pretty kettle of fish,pretty kettle of fish,phrase,,low,,0,2,1,1,1,3,1,0,2,3,3,4,5,2,5,0,1,0,0,2,0,0,5,36,
Not quite right,not quite right,phrase,,med,,1,4,0,4,2,6,5,3,6,4,1,6,7,9,14,7,13,23,21,17,0,0,23,153,
took leave of his senses,took leave of his senses,idiom_variant,,low,took_leave_of_senses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
took leave of her senses,took leave of her senses,idiom_variant,,low,took_leave_of_senses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
took leave of my senses,took leave of my senses,idiom_variant,,low,took_leave_of_senses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
took leave of their senses,took leave of their senses,idiom_variant,,low,took_leave_of_senses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
taken leave of his senses,taken leave of his senses,idiom_variant,,low,took_leave_of_senses,0,0,0,1,0,2,0,1,4,1,0,5,0,2,2,1,2,3,2,1,0,0,5,27,
taken leave of her senses,taken leave of her senses,idiom_variant,,low,took_leave_of_senses,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,5,
out of his mind,out of his mind,idiom_variant,,med,out_of_mind,0,0,5,11,15,10,15,18,19,26,23,58,43,62,67,57,62,42,42,40,5,0,67,615,'Out of X mind' has some non-idiomatic uses; audit.
out of her mind,out of her mind,idiom_variant,,med,out_of_mind,0,0,1,4,2,10,7,5,11,12,28,28,22,27,29,30,37,33,23,28,0,0,37,337,'Out of X mind' has some non-idiomatic uses; audit.
out of my mind,out of my mind,idiom_variant,,med,out_of_mind,3,3,5,1,13,14,8,10,16,22,20,46,56,74,69,85,50,65,56,28,7,1,85,644,'Out of X mind' has some non-idiomatic uses; audit.
out of your mind,out of your mind,idiom_variant,,med,out_of_mind,1,1,1,2,4,1,4,7,8,22,15,46,49,89,108,79,67,73,60,44,6,1,108,681,'Out of X mind' has some non-idiomatic uses; audit.
